,year,company_name,number_of_single_use_plastic_bags_issued,gross_proceeds_of_charge,vat,costs_deducted,cost_of_changing_till_systems,cost_of_staff_communications,cost_of_customer_communications,cost_of_obtaining_advice_on_charge,cost_of_administering_donations,other_costs_associated_with_implementing_charge,net_proceeds,amount_donated_to_good_causes,number_of_paper_bags_issued,number_of_bags_for_life_issued,number_of_fabric_bags_issued,number_of_other_bags_issued,difference_between_donations_and_proceeds,charity/voluntary,local_causes,health,arts_heritage,sports,education,environment,unknown
886,2019-20,TATE BROS. LTD,74262,3713.1,618.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3094.2500000000005,,,,,,,0,0,0,0,0,0,0,1
887,2019-20,TESCO STORES LTD,42117456,2105872.8,350978.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1754894.0000000002,1754894.0,,,,,-2.3283064365386963e-10,0,1,0,0,0,0,0,0
888,2019-20,THE CHILDREN'S SOCIETY,170796,8539.8,1423.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7116.500000000001,,,,,,,0,0,0,0,0,0,0,1
889,2019-20,THE CO-OPERATIVE GROUP,106578322,5328916.100000001,888152.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4440763.420000001,2587826.71,,22587141.0,508006.0,,-1852936.710000001,0,1,0,0,0,0,0,0
890,2019-20,THE DISNEY STORE LTD,772868,38643.4,6440.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32202.83,30914.72,,,,,-1288.1100000000006,0,0,0,0,0,0,1,0
891,2019-20,THE LAMBING SHED FARM SHOP LTD,4877,243.85,40.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.21000000000004,203.21,,,,,-2.842170943040401e-14,1,0,0,0,0,0,0,0
892,2019-20,THE MIDCOUNTIES CO-OPERATIVE,5314714,265735.7,44289.28,75000.0,0.0,0.0,0.0,0.0,0.0,75000.0,146446.42,,,,,,,0,0,0,0,0,0,0,1
893,2019-20,THE PERFUME SHOP,4509,225.45,37.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.87,,,,,,,0,0,0,0,0,0,0,1
894,2019-20,THE SALVATION ARMY,24860,1243.0,207.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1035.83,,,,,,,0,0,0,0,0,0,0,1
895,2019-20,THE SOUTHERN CO-OPERATIVE,7205048,360252.4,60042.07,40000.0,0.0,0.0,0.0,0.0,40000.0,0.0,260210.33000000002,260210.33,,1393587.0,,,-2.9103830456733704e-11,1,1,1,0,0,1,1,0
896,2019-20,THE UNIVERSITY OF MANCHESTER LIBRARY,1393,69.65,11.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.040000000000006,,,,,,,0,0,0,0,0,0,0,1
897,2019-20,THORNTONS LTD,364828,25914.55,4319.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21595.460000000003,21595.45,,,,,-0.010000000002037268,0,0,0,0,0,0,1,0
898,2019-20,TOOLSTATION LTD,205464,10273.2,1712.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8561.0,8561.0,,,,,0.0,1,0,0,0,0,0,0,0
